"identification_number";"InactivatedDate";"StartDate";"LastUpdatedDate";"LastUpdatedUser";"PartyType";"record_source"
"269071699";"";"2019-12-23 02:04:29.712";"2019-12-23 02:04:29.712";"dummy_user";"P";"TestSet"
"209954708";"";"2020-09-07 02:01:13.217";"2020-09-07 02:01:13.217";"dummy_user";"P";"TestSet"
"939408137";"";"2020-01-22 08:06:05.315";"2020-01-22 08:06:05.315";"dummy_user";"P";"TestSet"
"327645897";"";"2020-07-21 21:34:06.556";"2020-07-21 21:34:06.556";"dummy_user";"P";"TestSet"
"402412193";"";"2019-07-28 01:25:40.682";"2019-07-28 01:25:40.682";"dummy_user";"O";"TestSet"
"873806823";"";"2019-07-27 21:01:09.408";"2019-07-27 21:01:09.408";"dummy_user";"O";"TestSet"
"609443799";"";"2021-04-08 13:55:26.334";"2021-04-08 13:55:26.334";"dummy_user";"P";"TestSet"
"794518856";"";"2019-12-20 11:36:37.959";"2019-12-20 11:36:37.959";"dummy_user";"P";"TestSet"
"183485867";"";"2019-10-06 21:03:36.426";"2019-10-06 21:03:36.426";"dummy_user";"P";"TestSet"
"48589895";"";"2021-03-04 08:40:31.325";"2021-03-04 08:40:31.325";"dummy_user";"P";"TestSet"
